Cod FGO,Cod produs,Nume produs,Categorie,Categorie conta,Stoc initial,UM,Pret vanzare fara TVA (RON),Pret vanzare cu TVA (RON),Pret intrare,Moneda pret intrare,TVA %,Descriere
00448638,11345-LFE9-E00,11345-LFE9-E00 DUCT A L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00450800,11345-LHB3-E10,11345-LHB3-E10 DUCT L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,5.22,6.21,,EUR,21,Tub aerisire
00445404,11345-LLB1-900,11345-LLB1-900 DUCT L COVER,Marfuri,Marfuri gestiune 1 firma,2,BUC,105.7851,128,,EUR,21,Furtun aerisire
00448892,11345-PWB1-900,11345-PWB1-900 DUCT BELT AIR,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00445252,11346-KKC3-900,11346-KKC3-900 BAND L COVER DUCT,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,
00449522,11347-LBA2-E00,11347-LBA2-E00 BOSS DRIVE SHAFT,Pe comanda,Marfuri gestiune 1 firma,0,BUC,45.4545,55,,EUR,21,Bucsa capac variator
00445253,11347-LBA7-900,11347-LBA7-900 BOSS DRIVE SHAFT,Pe comanda,Marfuri gestiune 1 firma,3,BUC,45.4545,55,,EUR,21,Bucsa capac
00447607,11348-LBA2-E00-HQP,11348-LBA2-E00-HQP FRONT COVER L,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00449771,11348-LCA5-E00,11348-LCA5-E00 COVER STARTING,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00448867,11348-LDB5-E00-NEA,11348-LDB5-E00-NEA COVER STARTING,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00447401,1134A-KHE7-900-N8P,1134A-KHE7-900-N8P COVER COMP L COVER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,
00448259,1134A-LEA7-E00-D2G,1134A-LEA7-E00-D2G L COVER COMP,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00449444,1134B-LBA2-E00-HQP,1134B-LBA2-E00-HQP FRONT COVER L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00450852,1134B-LDG7-E00-HJP,1134B-LDG7-E00-HJP FRONT COVER COMP L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,34.77,41.38,,EUR,21,Capac stanga
00451248,11350-LCA5-E00,11350-LCA5-E00 ELEMENT DUCT A L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,3.03,3.61,,EUR,21,Capac tub aerisire
00450436,11350-LEA7-E00,11350-LEA7-E00 ELEMENT DUCT A L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,3.7,4.4,,EUR,21,Capac
00450883,11350-LEA7-E02,11350-LEA7-E02 ELEMENT ASSY L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,95.0413,115,,EUR,21,Element filtru capac stanga
00448529,11361-LBA8-C10-NEA,11361-LBA8-C10-NEA COVER LEFT REAR CRANK,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00450798,11361-LEC8-E00-NEP,11361-LEC8-E00-NEP COVER L RR CRANKCASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,115.12605,137,,EUR,21,
00447609,11393-1G07-980,11393-1G07-980 GASKET RIGHT CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00451653,11393-BLB3-E00,11393-BLB3-E00 GASKET RIGHT CRANK CASE COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,42.9752,52,,EUR,21,Garnitura dreapta
00445911,11393-KEC2-900,11393-KEC2-900 GASKET RIGHT CRANK CASE COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00447975,11393-KEC2-980,11393-KEC2-980 GASKET RIGHT CRANK CASE COVER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,Garnitura carter dreapta
00448331,11393-KGC4-980,11393-KGC4-980 GASKET RIGHT CRANK CASE COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00448574,11393-LBA8-E90,11393-LBA8-E90 GASKET RIGHT CRANK CASE COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00447610,11393-LCA7-E90,11393-LCA7-E90 GASKET RIGHT CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00446246,11394-KED9-900,11394-KED9-900 GASKET R COVER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,Garnitura capac dreapta
00446781,11394-KGBG-980,11394-KGBG-980 GASKET,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura capac dreapta
00446815,11394-KGBG-E90,11394-KGBG-E90 GASKET R COVER,Marfuri,Marfuri gestiune 1 firma,6,BUC,28.9256,35,,EUR,21,Garnitura capac dreapta
00445181,11394-KHE7-900,11394-KHE7-900 GASKET R COVER,Marfuri,Marfuri gestiune 1 firma,0,BUC,45.4545,55,,EUR,21,Garnitura capac dreapta
00447178,11394-KHE7-980,11394-KHE7-980 GASKE R COVER,Marfuri,Marfuri gestiune 1 firma,4,BUC,0,0,,EUR,21,Garnitura capac dreapta
00446851,11394-KUDU-980,11394-KUDU-980 GASKET R COVER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,Garnitura capac dreapta
00446732,11394-KUDU-C10,11394-KUDU-C10 GASKET R COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura capac dreapta
00447179,11394-KUDU-E90,11394-KUDU-E90 GASKER R COVER,Pe comanda,Marfuri gestiune 1 firma,3,BUC,26.4463,32,,EUR,21,Garnitura capac dreapta
00447093,11394-LBA2-E00,11394-LBA2-E00 GASKET L COVER,Marfuri,Marfuri gestiune 1 firma,1,BUC,53.719,65,,EUR,21,Garnitura capac stanga
00445194,11394-LBA7-900,11394-LBA7-900 GASKET R COVER,Marfuri,Marfuri gestiune 1 firma,10,BUC,45.4545,55,,EUR,21,Garnitura capac dreapta (magnetou)
00449815,11394-LBA7-900-FS2,11394-LBA7-900-FS2 GASCHET RIGHT COVER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,
00449837,11394-LBA7-900-FS9,11394-LBA7-900-FS9 GASKET RIGHT COVER,Pe comanda,Marfuri gestiune 1 firma,2,BUC,0,0,,EUR,21,
00447388,11394-LDB5-E00,11394-LDB5-E00 GASKET COVER,Marfuri,Marfuri gestiune 1 firma,3,BUC,45.4545,55,,EUR,21,Garnitura capac dreapta
00447743,11394-LEA5-E00,11394-LEA5-E00 GASKET R COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura capac dreapta
00448571,11394-LEA7-305,11394-LEA7-305 GASKER R COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,Garnitura capac dreapta
00447022,11394-LEA7-E00,11394-LEA7-E00 GASKET R COVER,Marfuri,Marfuri gestiune 1 firma,1,BUC,52.0661,63,,EUR,21,Garnitura capac dreapta
00450667,11394-LFA7-E00,11394-LFA7-E00 GASKET R COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,2.96,3.52,,EUR,21,Garnitura capac dreapta (stator)
00451036,11394-LGC6-E00,11394-LGC6-E00 GASKET R COVER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,12.58,14.97,,EUR,21,Garnitura capac dreapta
00449611,11394-LKF5-E00,11394-LKF5-E00 GASKET R COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,70.2479,85,,EUR,21,Garnitura capac dreapta
00450967,11394-LKM5-E00,11394-LKM5-E00 GASKET R COVER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,61.9835,75,,EUR,21,Garnitura capac dreapta
00445943,11394-LLB1-900,11394-LLB1-900 GASKET R COVER,Marfuri,Marfuri gestiune 1 firma,2,BUC,45.4545,55,,EUR,21,Garnitura capac dr.
00448415,11394-LLB1-900,11394-LLB1-900 MV0015 SEAL HOUSING,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,Garnitura capac dr.
00447545,11394-PWB1-900,11394-PWB1-900 GASKET L COVER,Marfuri,Marfuri gestiune 1 firma,3,BUC,64.4628,78,,EUR,21,Garnitura capac stanga
00446520,11395-GKAK-901,11395-GKAK-901 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,2,BUC,53.719,65,,EUR,21,Garnitura capac stanga
00446361,11395-KEB7-900,11395-KEB7-900 GASKEL L COVER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,
00447483,11395-KEC2-980,11395-KEC2-980 GASKET L CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,
00446901,11395-KFA6-900,11395-KFA6-900 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,39.6694,48,,EUR,21,Garnitura capac stanga
00448542,11395-KFC8-980,11395-KFC8-980 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00447165,11395-KGD4-980,11395-KGD4-980 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00448502,11395-KGG7-E90,11395-KGG7-E90 GASKET L CRANK CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00446657,11395-KHB4-900,11395-KHB4-900 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,5,BUC,0,0,,EUR,21,Garnitura capac variator
00450033,11395-KHB4-C00,11395-KHB4-C00 GASKET L COVER @A,Pe comanda,Marfuri gestiune 1 firma,0,BUC,30.5785,37,,EUR,21,Garnitura capac stanga
00446073,11395-KHE7-900,11395-KHE7-900 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00446882,11395-KHE7-980,11395-KHE7-980 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00450728,11395-KKD6-E90,11395-KKD6-E90 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,6.98,8.31,,EUR,21,Garnitura capac stanga
00445326,11395-KKD7-900,11395-KKD7-900 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00445624,11395-KKD7-C10,11395-KKD7-C10 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,3,BUC,0,0,,EUR,21,
00449445,11395-KKD7-E90,11395-KKD7-E90 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,90.9091,110,,EUR,21,Garnitura capac
00446816,11395-LBA2-E00,11395-LBA2-E00 GASKET L COVER A,Pe comanda,Marfuri gestiune 1 firma,3,BUC,0,0,,EUR,21,
00446658,11395-LBA7-900,11395-LBA7-900 GASKET L COVER,Marfuri,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,Garnitura capac stanga
00449836,11395-LBA7-900-FS9,11395-LBA7-900-FS9 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,
00446383,11395-LBD6-C00,11395-LBD6-C00 GASKET L COVER,Marfuri,Marfuri gestiune 1 firma,3,BUC,61.9835,75,,EUR,21,Garnitura capac variator
00449822,11395-LBD6-C00-FS5,11395-LBD6-C00-FS5 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,2,BUC,0,0,,EUR,21,
00446875,11395-LBD6-E00,11395-LBD6-E00 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,Garnitura capac variator
00447484,11395-LCA7-E90,11395-LCA7-E90 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00449887,11395-LCD2-C00,11395-LCD2-C00 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,89.2562,108,,EUR,21,Garnitura capac variator
00449813,11395-LCD2-C00-FS2,11395-LCD2-C00-FS2 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00445351,11395-LCD2-E00,11395-LCD2-E00 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,1,BUC,0,0,,EUR,21,Garnitura capac variator
00448681,11395-LDB5-E00,11395-LDB5-E00 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00445944,11395-LEA7-E00,11395-LEA7-E00 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00451300,11395-LKF5-E00,11395-LKF5-E00 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,10.81,13.08,,EUR,21,Garnitura capac stanga
00446166,11395-LLB1-900,11395-LLB1-900 GASKET L COVER A,Pe comanda,Marfuri gestiune 1 firma,3,BUC,0,0,,EUR,21,Garnitura capac stanga
00449515,11395-LLJ3-C00,11395-LLJ3-C00 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00449577,11395-LLJ3-E00,11395-LLJ3-E00 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00449266,11395-LLJ3-E01,11395-LLJ3-E01 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00447434,11395-PWB1-900,11395-PWB1-900 GASKER R COVER,Marfuri,Marfuri gestiune 1 firma,2,BUC,104.1322,126,,EUR,21,Garnitura capac dreapta
00446902,11396-KFA6-900,11396-KFA6-900 GASKET L COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00446109,11396-PWB1-900,11396-PWB1-900 GASKET R COVER,Marfuri,Marfuri gestiune 1 firma,3,BUC,63.6364,77,,EUR,21,Garnitura capac dreapta
00449355,11443-LDB5-900,11443-LDB5-900 GASKET PRIMARY SHAFT COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,17.3554,21,,EUR,21,Garnitura
00448929,11451-LDB5-E00,11451-LDB5-E00 COVER CTV FAN,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00448404,11495-LDB5-E00,11495-LDB5-E00 GASKET CLUTCH COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,0,0,,EUR,21,
00451037,11495-LKM5-E00,11495-LKM5-E00 GASKET CLUTCH COVER,Pe comanda,Marfuri gestiune 1 firma,0,BUC,3.76,4.47,,EUR,21,Garnitura capac ambreaj
00448682,11496-LDB5-E00,11496-LDB5-E00 GASKET R CASE CAP,Pe comanda,Marfuri gestiune 1 firma,0,BUC,23.1405,28,,EUR,21,Garnitura dreapta capac
00451376,11496-LKM5-E00,11496-LKM5-E00 GASKET R CASE,Pe comanda,Marfuri gestiune 1 firma,0,BUC,4.51,5.46,,EUR,21,Garnitura capac dreapta
